question,answer
জাবির c1 ইউনিটের চারুকলার ব্যবহারিক পরীক্ষার ফলাফল কবে প্রকাশিত হবে?,http://www.juniv.edu/program/3044
ক্লাস শুরু হবে কবে থেকে ?,http://www.juniv.edu/program/3044
জাবির  D ইউনিটে মোট কী কী বিষয় রয়েছে?,১) ফার্মেসী বিভাগ ২) প্রাণরসায়ন ও অনুপ্রাণ বিজ্ঞান বিভাগ ৩। মাইক্রোবায়োলজি বিভাগ ৪) বায়োটেকনোলজি এন্ড জেনেটিক ইঞ্জিনিয়ারি বিভাগ ৫) পাবলিক হেলথ্ এন্ড ইনফরমেটিক্স বিভাগ ৬। প্রাণিবিদ্যা বিভাগ ৭) উদ্ভিদবিজ্ঞান বিভাগ
জাবির  D ইউনিটে  আবেদনের ন্যূনতম যোগ্যতা?,বিজ্ঞান বিভাগ থেকে মাধ্যমিক ও উচ্চমাধ্যমিক উভয় পরীক্ষায় পৃথকভাবে সর্বনিম্ন জিপিএ ৩.৫০ পেতে হবে। মোট জিপিএ ৮.০০ উচ্চমাধ্যমিকে জীববিজ্ঞানে A- ( A মাইনাস )
জাবির  D ইউনিটে   মানবণ্টন ?,বাংলা + ইংরেজি = ৮ রসায়ন = ২৪ উদ্ভিদবিজ্ঞান – ২২ প্রাণিবিদ্যা – ২২ এবং বুদ্ধিমত্তা ( IQ ) – ৪
বিস্তারিত তথ্য ও প্রস্তুতির দিকনির্দেশনা ?,https://www.facebook.com/events/2228185630745149/permalink/2268395056724206/
সকল ইউনিটের MCQ পরীক্ষায় মোট পাশমার্ক ?,33%
"A, B, C, C1, D, E, H এবং I ইউনিট প্রশ্নপত্রের মাধ্যম ?",bangla
জিপিএ গণনা কিভাবে ?,(SSCX1.5) + (HSCX2.5)  মোটঃ ২০
"A, B, C, D, E, F, G, H এবং I ইউনিটের ব্যবহারিক হয়?",না।
ইংরেজিতে সি থাকলে কি আবেদন করা যাবে?,হ্যাঁ। শুধু বি ইউনিটের ভুগোল এবং সি ইউনিটের বাংলা সাবজেক্টের জন্য আবেদন করা যাবে। সায়েন্সের তিন ইউনিটে ইংরেজির আলাদা রিকোয়ারমেন্ট নাই
এসএসসি/এইচএসসি তে ৩.০০ থাকলে কোন ইউনিটে আবেদন করা যাবে?, C C1 I ইউনিটে আবেদন করতে পারবেন বাকি কনডিশন ফিলাপ করা সাপেক্ষে। তবে একটায় ৩.০০ হলে অন্যটায় ৫.০০ পেলেও আবেদন করতে পারবেন না। 
কত নাম্বার পেলে চান্স পাওয়া যাবে?,সকল ইউনিটেই ভর্তি পরীক্ষায় অন্তত ৬৫% নাম্বার না পেলে চান্স পাওয়ার সম্ভাবনা নেই। প্রশ্ন সহজ হলে অন্তত ৭০% লাগতে পারে। তবে এইচ ইউনিট মানে আইআইটি তে পড়তে হলে ১০০ তে ৮৫ পাওয়া লাগবে।
সিট কয়টা?,বড় ইউনিটগুলোতে ৩০০-৪০০ টা। ছোটগুলো যেমন আইন আইবিএ তে ৬০-৭০ টা থাকে। সবমিলিয়ে সিট ১৯৮৫ (কোটা বাদে)
জাবি এর  ইউনিটসমূহ ?," মোট ইউনিট ১০ টা,(A,B,C,C1,D,E,F,G,H,I) সাইন্স ইউনিট (A,D,H) বাট সাইন্স থেকে ১০ টা ইউনিটেই এক্সাম দিয়া যায়। মানবিক ইউনিট (C)+ আরও এক্সাম দিতে পারবা (B,C,E,F,G,I,c1) ইউনিটে। ব্যবসায় ইউনিট (E,G)+ আরও এক্সাম দিতে পারবা (B,C,F,I,c1) ইউনিটে। আইবিএ G ইউনিট। আইন ও বিচার F ইউনিট। নাটক ও নাট্যতত্ত্ব এবং চারুকলা C1 ইউনিট।"
জাবির জন্য এক্সট্রা কিছু পড়া লাগবে?,হ্যাঁ। IQ থাকে যা অন্য বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষাগুলোতে থাকে না। এছাড়া বেশ কিছু ইউনিটে সাধারণ গণিত থাকে। সব গ্রুপের শিক্ষার্থীকেই এগুলোর উত্তর করতে হয়। এগুলো আপনাকে এক্সট্রা পড়তেই হবে।
E_ইউনিট (বিজনেস স্টাডিজ অনুষদ) বিষয় কিকি ?,ফিন্যান্স এন্ড ব্যাংকিং মার্কেটিং একাউন্টিং & ইনফরমেশন সিস্টেম এবং ম্যানেজমেন্ট স্টাডিজ -- এই ৪ টি সাবজেক্টের শর্তসমূহ নিম্নরূপঃ (ক) উচ্চমাধ্যমিক ব্যবসায় শিক্ষা/ মানবিক ও অন্যান্য শাখাঃ মোট জিপিএ ৭.০০। (খ) উচ্চমাধ্যমিক বিজ্ঞান শাখাঃ মোট জিপিএ ৭.৫০  (গ) ইংরেজি এবং গণিত/অর্থনীতি/ হিসাববিজ্ঞান/ ব্যবসায় নীতি ও প্রয়োগে বি গ্রেড।
E_ইউনিট (বিজনেস স্টাডিজ অনুষদ) মান_বণ্টন  ?,*বাংলা - ১৫ ইংরেজি - ৩০ *গণিত - ১৫  *হিসাব বিজ্ঞান এবং ব্যবসায় সংগঠন ও ব্যবস্থাপনা - ২০
E ইউনিট এ আলাদাভাবে পাস ??,না overall 35% পেলেই পাস।
E ইউনিট এ ক্যালকুলেটর ব্যাবহার করা যাবে ?,না।
E ইউনিট এ মার্ক?,এসএসসি ফলাফলকে ১.৫ এবং এইচএসসির ফলাফলকে ২.৫ দ্বারা গুন করে এসএসসি এবং এইচএসসিতে ২০ এ তোমাদের কত নম্বর থাকে সেটি হিসাব করা হবে।এই ২০ এবং ভর্তি পরীক্ষার ৮০ মোট ১০০ নম্বরের পরীক্ষা।
E ইউনিট এ  আসন_সংখ্যা (ছেলে+ মেয়ে) কত ?,ফিন্যান্স এন্ড ব্যাংকিং: 25+25= 50 * মার্কেটিং: 25+25= 50 * একাউন্টিং এন্ড ইনফরমেশন সিস্টেম : 25+25= 50 * ম্যানেজমেন্ট স্টাডিজ: 25+25= 50 মোট আসন: 100 + 100 = 200 টি
JU B -UNIT (সমাজ বিজ্ঞান অনুষদ) এ পরীক্ষা দেওয়ার যোগ্যতা ?,এই ইউনিটে বিজ্ঞান ব্যবসায় শিক্ষা ও মানবিক শাখা সবাই পরীক্ষা দিতে পারবে।
JU B -UNIT (সমাজ বিজ্ঞান অনুষদ) এ সাবজেক্ট ভিত্তিক যোগ্যতা  ?,মাধ্যমিক ও উচ্চমাধ্যমিক উভয় পরীক্ষায় পৃথকভাবে সর্বনিম্ন জিপিএ ৩.৫০ পেতে হবে। * উচ্চমাধ্যমিক বিজ্ঞান / কৃষি শাখা :  মোট জিপিএ কমপক্ষে ৮.০০ হতে হবে * উচ্চমাধ্যমিক ব্যবসায় শিক্ষা / মানবিক / অন্যান্য :  মোট জিপিএ কমপক্ষে ৭.০০ হতে হবে ।  উচ্চমাধ্যমিকে ইংরেজিতে সর্বনিম্ন B গ্রেড থাকতে হবে।
JU B -UNIT (সমাজ বিজ্ঞান অনুষদ) এ  মোট কয়টি বিভাগ রয়েছে ?,১। অর্থনীতি বিভাগ ২। নগর ও অঞ্চল পরিকল্পনা বিভাগ ৩। সরকার ও রাজনীতি বিভাগ ৪। লোকপ্রশাসন  ৫। ভুগোল ও পরিবেশ বিজ্ঞান বিভা ৬। নৃবিজ্ঞান বিভাগ
JU B -UNIT (সমাজ বিজ্ঞান অনুষদ) এ  আসন সংখ্যা ?,ছাত্র +ছাত্রী-- * অর্থনীতি: ৪০ + ৩৫ = ৭৫ * নগর ও অঞ্চল পরিকল্পনা:১৫+১৫=৩০ * লোক প্রশাসন:৩০+২৫=৫৫ * সরকার ও রাজনীতি:৩৪+৩৪=৬৮ * নৃবিজ্ঞান:২৫+২৫=৫০ * ভূগোল ও পরিবেশ:৩৫+৩০=৬৫  #মোট আসন: ১৭৯ + ১৬৪ = ৩৪৩
জাহাঙ্গীরনগর বিশ্ববিদ্যালয় A Unit(গাণিতিক ও পদার্থবিষয়ক অনুষদ) মানবণ্টন ?,* গণিত - ২২  * পদার্থবিজ্ঞান - ২২  * রসায়ন -২২  * বাংলা - ৩  *ইংরেজি - ৩  * বুদ্ধিমত্তা( বিজ্ঞান বিষয়ক ) – ৮
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  B Unit ( সমাজবিজ্ঞান অনুষদ ) মানবণ্টন ?,বাংলা - ১০ *ইংরেজি - ১৫  * গণিত - ১৫  * সাধারণ জ্ঞান - ২৫  * বুদ্ধিমত্তা – ১৫
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  C Unit ( কলা ও মানবিকী অনুষদ )মানবণ্টন ?,বাংলা- ১৫ * ইংরেজি - ১৫ * অনুষদ সংশ্লিষ্ট অন্যান্য বিষয়- ৫০
জাহাঙ্গীরনগর বিশ্ববিদ্যালয় E Unit( বিজনেস স্টাডিজ অনুষদ ) মানবণ্টন ?,বাংলা - ১৫   ইংরেজি - ৩০   গণিত - ১৫   হিসাব বিজ্ঞান এবং ব্যবসায় সংগঠন ও ব্যবস্থাপনা - ২০ (গণিত হিসবা বিজ্ঞান এবং ব্যবসায় সংগটন ও ব্যবস্থাপনার প্রশ্ন বাংলা ভার্সেন হবে)
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  C1 Unit ( কলা ও মানবিকী অনুষদ ) মানবণ্টন ?,বাংলা- ১০ * ইংরেজি - ১০ * বিষয়ভিত্তিক- ৬০ (নাট্যতত্ত্ব ৩০ & চারুকলা ৩০)
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  F Unit ( আইন অনুষদ ) মানবণ্টন ?,বাংলা - ২৫  * ইংরেজি - ২৫  * সাম্প্রতিক বিষয়ও বুদ্ধিমত্তা – ৩০
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  G Unit ( Institute Of Business Administration [ IBA-JU ] ) মানবণ্টন ?,* বাংলা - ৫ * ইংরেজি - ৩০  * Mathematical Aptitude & IQ - ৩০ *সাম্প্রতিক ও বিশ্লেষণ মূলক বিষয় - ১০ * Viva - ৫  [ Viva তে সর্বনিন্ম ৩৫% নাম্বার পেতে হবে]
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  H Unit ( Institute Of Information Technology ) মানবণ্টন ?,* বাংলা - ৫  * ইংরেজি - ১৫  * গণিত - ৪০  *পদার্থবিজ্ঞান - ২০.
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়  I Unit (বঙ্গবন্ধু তুলনামূলক সাহিত্য ও সংস্কৃতি) মানবণ্টন ?,বাংলা - ১৫ * ইংরেজি - ১৫  * বিশ্বসাহিত্য -১০  * সাধারণ জ্ঞান - ১০  * সংস্কৃতি - ৫  * নৃবিজ্ঞান - ৫ * প্রত্নতত্ত্ব - ৫ * বঙ্গবন্ধু-মুক্তিযুদ্ধ ও বাংলাদেশ – ১০
জাবির ডি ইউনিটের জন্য জীববিজ্ঞানে A- পেলে হবে???নাকি উদ্ভিদবিজ্ঞান ও প্রাণিবিজ্ঞানে আলাদা আলাদা A- পাওয়া লাগবে??,A- is enough .
এই ইউনিট এ কি 2nd time দেয়া যাবে?,yes
জাবি ইউনিট ১(বিজ্ঞান বিভাগ)  এ আবেদনের যোগ্যতা কি ?,ইউনিট ১(বিজ্ঞান বিভাগ) এর জন্য এসএসসি এবং এইচ এস সি মিলায়ে মোট ৮.০০ থাকতে হবে আলাদাভাবে কমপক্ষে ৩.০০ থাকতে হবে।
জাবি ইউনিট ২(মানবিক বিভাগ) এ আবেদনের যোগ্যতা কি ?,ইউনিট ২(মানবিক বিভাগ)এর জন্য এসএসসি এবং এইচ এস সি মিলায়ে মোট ৭.৫০ থাকতে হবে আলাদাভাবে কমপক্ষে ৩.০০ থাকতে
জাবি ইউনিট ৩(বাণিজ্য বিভাগ) এ আবেদনের যোগ্যতা কি ?,ইউনিট ৩(বাণিজ্য বিভাগ)এর জন্য এসএসসি এবং এইচ এস সি মিলায়ে মোট ৮.০০ থাকতে হবে আলাদাভাবে কমপক্ষে ৩.০০ থাকতে
"জাবি চারুকলা, সংগীত, নাট্যকলা, ফিল্ম)  এ আবেদনের যোগ্যতা কি ?",(চারুকলা সংগীত নাট্যকলা ফিল্ম) বিভাগ এ সব গ্রুপের ছাত্র ছাত্রী আবেদন করতে পারবে. এসএসসি এবং এইচ এস সি মিলায়ে মোট ৭.০০ থাকতে হবে আলাদাভাবে কমপক্ষে ২.৫ থাকতে হবে। এইচএসসি তে বাংলা & ইংরেজী তে কমপক্ষে 'বি' গ্রেড থাকতে হবে।
সায়েন্স ব্যাকগ্রাউন্ডের শিক্ষার্থীরা জাবির কোন ইউনিটে পরীক্ষা দিতে পারবে?,সকল ইউনিটে
কমার্স এবং আর্টস ব্যাকগ্রাউন্ডের শিক্ষার্থীরা কোন ইউনিটে পরীক্ষা দিতে পারবে ?," B, C, C1, E, F, G, I ইউনিটে"
C ইউনিট এবং C1 ইউনিট কি দুইটা সম্পুর্ন আলাদা ইউনিট হিসেবে বিবেচিত হবে ?,হ্যাঁ
জাবি কোন বিষয়ের প্রশ্নপত্র ইংরেজীতে হবে ?, E F এবং  G ইউনিটের বাংলা ব্যতীত অন্যান্য বিষয়ের প্রশ্নপত্র ইংরেজীতে হবে
কোন কোন বিশ্ববিদ্যালয়ে দ্বিতীয় বার পরিক্ষা দেয়া যাবে ?,১. জাহাঙ্গীরনগর বিশ্ববিদ্যালয় (JU) ২. শাহজালাল বিজ্ঞান ও প্রযুক্তিবিশ্ববিদ্যালয়।(SUST) ৩. কুমিল্লা বিশ্ববিদ্যালয় (CoU) ৪. খুলনা বিশ্ববিদ্যালয় (KU) ৫. বরিশাল বিশ্ববিদ্যালয় (BU ৬. ইসলামি বিশ্ববিদ্যায় (IU) ৭. বেগম রোকেয়া বিশ্ববিদ্যালয় রংপুর (BRUR) ৮. জাতীয় কবি কাজী নজরুল ইসলাম বিশ্ববিদ্যালয়(JKKNIU) ৯. বাংলাদেশ ইউনিভার্সিটি অব প্রোফেশনালস (BUP) ১০. পটুয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (PSTU) ১১. বাংলাদেশ কৃষি বিশ্ববিদ্যালয় (BAU) ১৩. ইসলামিক ইউনিভার্সিটি অফ টেকনোলোজি (IUT) ১৪. বঙ্গবন্ধু শেখ মুজিবুর রহমানবিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।(BSMRSTU) ১৫. মাওলানা ভাসানী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (MBSTU) ১৬. নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (NSTU) ১৭. পাবনা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় ১৮. হাজী মোহাম্মাদ দানেশ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (HSTU) ১৯. যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় (JUST) ২০. বঙ্গবন্ধু শেখ মুজিবুর রহমান কৃষি বিশ্ববিদ্যালয় ২১. শেরে বাংলা কৃষি বিশ্ববিদ্যালয় ২২. রবীন্দ্র বিশ্ববিদ্যালয়
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের A ইউনিটে কি শুধুমাত্র বিজ্ঞান বিভাগের শিক্ষার্থীরা পরীক্ষা দিতে পারবে ?,হ্যাঁ
জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের A ইউনিটে কি কি বিষয় রয়েছে?,১. কম্পিউটার সায়েন্স এন্ড ইঞ্জিনিয়ারিং বিভাগ ২. রসায়ন বিভাগ ৩. পদার্থবিজ্ঞান বিভাগ ৪. গণিত বিভাগ ৫. পরিসংখ্যান বিভাগ ৬. পরিবেশ বিজ্ঞান বিভাগ ৭. ভূতাত্ত্বিক বিজ্ঞান বিভাগ
IBA a sit koytaa ju tee??,50
English c thakle kon kon unit from tulthe parbo samne bar?,http://www.juniv.edu/program/3044
Ebar ju er b unite koto porjonto jaite pare?,http://www.juniv.edu/program/3044
JU BBA POSITION 121... Hobe ki?,http://www.juniv.edu/program/3044
vivar date subject choice r koba diba?,http://www.juniv.edu/program/3044
Ju te d unit r viva ki hye gese?,http://www.juniv.edu/program/3044
JU TE SUBJECT CHOICE OR VIVA PROCESS KBE THEKE SURU ?,http://www.juniv.edu/program/3044
vaiara ju te 2nd timerder ki kno mark kata JAI?,Na..Medical e kata jai versity admission e kono marks kata jai na
amr freedom fighter kutha acha. atar jonno ki alada kono form fill up korte hobe naki viba ar somoy mukti juddar certificate gula niye geleei hobe???,http://www.juniv.edu/program/3044
A unit er subject choice kobe theke suru hobe?,http://www.juniv.edu/program/3044
c unit e 660 theke viva te dakar kon chance ase??,http://www.juniv.edu/program/3044
ju er A unit er iq er jnno kon kon topic porte hbe..?,Iq to iq duniyar joto General knowledge ase sob e
Jahangirnagar university te kon unit a koto sit...seita jodi diails a bolten???,https://www.facebook.com/events/2228185630745149/permalink/2298260243737687/
D unit ar xm koba hba??fixed date ki dca??,2 Oct
JU d unit a ki bng r eng a alada vaby pass korae lgy?,No
JU te I unit a seat sonkha koto?,30
sov vertity Question bank er jnnu ki alada alada boi kinte hbe?naki amon kun boi ase jetarr modde public sov versityr question bank ase?,jetarr modde public sov versityr question bank ase?
ami second timer... amar total GPA 9.42 with forth sub..ami ki ju dite exm dite parbo....?,yes
Jahangirnagar er D unit er jonno boi er pashapashi sohayok hisabe ki porle valo hobe?,জয়কলি মেডি বায়োলজির বায়োলজি+ক্যামিস্ট্রি + unique publication( iq+bang+eng)
keu ki bolte parben ju te c unit e commerce er jonno seat koyta?,http://www.juniv.edu/program/3044