question,answer,university,language
আমি মেডিকেলে সেকেন্ড টাইম দিতে ইচ্ছুক..কিন্তু আমার hsc রেজাল্ট 4.92.সেকেন্ড টাইমার হিসেবে আমার কাটবে 5 এবং রেজাল্ট এর 2 মোট কাটবে 5+2=7!আমি যদি এইবার ইম্প্রুভ দিয়ে প্লাস পাই তাহলেও কি আমার 5 কাটা যাবে?নাকি ইম্প্রুভ দিলে আমি পুরোপুরি 1st টাইমার হিসেবে গন্য হবো?,ইম্প্রুভ হলে মার্ক্স কাটবে না। বাট আমার মনে হয় তোমার ইম্প্রুভ দেয়া উচিত হবে না। এখন থেকেই সেকেন্ড টাইমের প্রেপ নাও। আমার ফ্রেন্ড এর ৯.২৫ কাটা গিয়ে বরিশাল মেডিতে আসছে সেকেন্ড টাইমে। সো ইম্প্রুভ না দিয়ে প্রেপ নেওয়া শুরু করে দাও সেকেন্ড টাইমের,medical,Bangla
এ বছর medical আর dental এ highest ও lowest score কত ছিলো?? ( জিপিএ ছাড়া)  আগামী বছর 2nd time থাকবে???,সেকেন্ড টাইম থাকবে বলেই ৫ নম্বর কাটার কথা বলা হয়েছে।জানি না অথোরিটি কি করবে,medical,Bangla
মেডিকেল ভর্তি পরীক্ষায় টোটাল ৯.৭২ নিয়ে চাঞ্চ পাওয়ার সম্ভাবনা কতটুকু?,খুব কম। কিন্তু চেষ্টা করা যায়। আমার বাড়ির পাশের একজন দুইটা A গ্রেড নিয়ে চাঞ্চ পাইছে। তারও প্রায় ৮ মার্ক কাটা গেছে।,medical,Bangla
আমি এবছর মেডিকেলের ফর্ম তুলিনি। কারন আমার রেজাল্টটা খারাপ হয়েছিল। তাই ইমপ্রুভ দিয়ে মেডিকেলে exam দিলে কি আমার ৫ মার্কস কাটা যাবে মানে আমি কি 2nd timer হয়ে যাবো?,Na,medical,Bangla
রয়েল গাইডের objective কি প্রতি বছর change হয়? পুরাতন গাইড সংগ্রহ করলে সমস্যা আছে কোনো?,নতুন টা বা এক বছরের পুরনো টা পড়তে পারেন,medical,Bangla
যে মেডিগুলা থেকে ফর্ম নেই নাই সেগুলা যদি সিট ফাকা থাকে তবে কি ফর্ম বাদে ভর্তি হওয়া যাবে??,হুম।সিট খালি থাকলে স্বাগতম জানিয়ে ভর্তি করাবে,medical,Bangla
ডেন্টাল এর ওয়েটিং লিস্ট কবে দিবে?,24 er por na dewar kotha cilo,medical,Bangla
HSC Exam হয়ে যাওয়ার পর কতদিন পর মেডিকেল এডমিশন এর জন্য কোচিং শুরু করতে হয়?,Amar exam ses howar 10-15 din ER moddhe coaching/private start hoiye jabe..ok,medical,Bangla
আর্মি মেডিকেল কলেজে ভর্তি হতে কত টাকা লাগবে???? আর খরচ কেমন???,ভর্তি হইতে ১৭ লাখ আর বের হতে মোট ২৭ লাখ,medical,Bangla
মেডিকেল প্রস্তুতির জন্য বায়োলজি (১ম এবং ২য় পত্র) কোন কোন লেখকের বই অধিক গুরুত্ব সহকারে পড়া ভালো হবে ?,1st paper gaji ajmol sirer boi porle hbe na,,,trpr abul hasan sirer porle.,medical,Bangla
Medical 2nd মাইগ্রেশনের রেজাল্ট কবে দিবে?,samner week dibe,medical,Bangla
English Text Book and Basic Grammar Part থেকে মেডিকেলে Question হয় কী ?,গ্রামার থেকে হয়.টেক্সট বুক থেকে কিছু আসে না,medical,Bangla
আমি যদি ইমপ্রুভ দিই...আর ইমপ্রুভ হয় এরপর কি আমি কি আর্ম ফোর্স মেডিকেলে এক্সাম দিতে পারব???? আর এখানে কি ... জিপিএ নাম্বার যত কম হবে তা কাটা যাবে????.,সেকেন্ড টাইমারদের ৫ মার্কস কাটে,medical,Bangla
আমি জীববিজ্ঞান ব্যাতীত বাকি সব বিষয়ে A+ পেয়েছি।জীববিজ্ঞান অপশনাল ছিলো।কিন্তু আমি ডাক্তার হতে চাই।সরকারি মেডিকেলে চান্স পেতে চাই।কোনো সমস্যা হবে ??,na,medical,Bangla
Inter এর physics চাপ্টার গুলোর বেসিক/থিওরি আছে কিন্তু math নেই এমন কোন বই আছে?যেটা পড়ে ফিজিক্স এর বেসিক সম্পর্কে ধারণা ক্লিয়ার হবে?,তপন স্যার এর বই টা বেষ্ট... থিওরি & ম্যাথ,medical,Bangla
AFMC তে চান্স পেতে হলে কিভাবে পড়তে হবে?? কোন কোন subject এর উপর এক্সাম হয়?? পড়ার step gulo kemon hote hobe??,GPA 10 thakle r afmc er xm a 80+ paile enough...,medical,Bangla
মেডিকেল এডমিশন প্রিপারেশনের জন্য বোর্ড বই এর সাথে ইংলিশ জিকে,বায়োলজি এর জন্য সহায়ক বইগুলোর নাম সাজেশট করলে উপকৃত হতাম।,বায়োলজির জন্য অবশ্যই আজমল স্যারের প্রাণীবিজ্ঞান আর আবুল হাসান স্যার এর উদ্ভিদবিজ্ঞান পড়বে।কেননা এ দুটিই সব থেকে জনপ্রিয় বই।এছাড়া ও আলীম স্যারের প্রাণীবিজ্ঞান ও আজিবুর স্যারের উদ্ভিদবিজ্ঞান পড়তে পার।এগুলোই পড়তে পার।সাথে বিগত বছরের প্রশ্ন তো মাস্ট পড়তে হবে। ইংরেজির জন্য অনেকে অনেক বই পড়ে।আমি এপেক্স এবং পি সি দাস এর বই এবং কারেন্ট এফেয়ারস থেকে বিশ্ববিদ্যালয় ভর্তির ইংরেজি ও সাধারণ জ্ঞান পড়েছিলাম।সাথে অবশ্যই কোচিং করে থাকলে কোচিং এর শিট বা প্রশ্ন অনুশীলন করবে। সাধারণ জ্ঞানের জন্য আমি রয়েল গাইডের সাধারণ জ্ঞান অংশ এবং আজকের বিশ্ব থেকে বিশ্ববিদ্যালয় এর সাধারণ জ্ঞান প্রশ্ন সলভ করেছিলাম।অনেকে মেডিজ্ঞানকোষ থেকেও পড়ে।,medical,Bangla
DDC থেকে এডমিট থেকে সেকেন্ড টাইম পরীক্ষা দিলে কত কাটা যাবে মার্ক?,7.5,medical,Bangla
Private medical r ফরম কি অনলাইনে ফিল আপ করা যায়?প্রত্যেকটা মেডিকেলে গিয়ে ফরম আনতে হয় কি???,Online a hoy na.hmm prottek medical theke form ante hobe,medical,Bangla
সেকেন্ড টাইমাররা কি কখনো DMC তে চান্স পায়?,সেকেন্ড টাইমাররাই বেশি পায়।,medical,Bangla
প্রাইভেট মেডিকেল সেন্ট্রাল মেডিকেল, শ্যামলী, ঢাকা। এটা কেমন হবে?,ভাল না তেমন,medical,Bangla
সেন্ট্রাল মেডিকেল ও সেন্ট্রাল ইন্টারন্যাশনাল মেডিকেল কলেজ কি আলাদা ভাইয়া?,nah..same,medical,Bangla
নার্সিং ভর্তির জন্য কোন বইটা পড়লে ভাল হবে?,Neuron special nursing admission guide,medical,Bangla
রসায়নের কোন কোন বিষয় গুলো মেডিকেল admission এ maximum আসে?,মেডিকেল এডমিশন এ রসায়ন সবচেয়ে আনপ্রেডিক্টেবল সাব্জেক্ট। যে কোনোখান থেকে যে কোনকিছু চলে আসতে পারে। পুরো সিলেবাস সমানভাবে আয়ত্তে রাখতে হবে।,medical,Bangla
মেডিকেলে কোনো প্রকার স্কলারশীপ দেয় কি না?,মেডিকেলে (MBBS) কোনো প্রকার স্কলারশীপ দেয় না।,medical,Bangla
ইন্ডিয়াতে নিজের খরচে মেডিকেল (MBBS) পড়া যায় কি না?,হ্যা যায়। ইন্ডিয়াতে মেডিকেলে (MBBS) পড়তে চাইলে NEET এক্সাম দিতে হবে। High Commission Of India (HCI) থেকে ফেব্রুয়ারীর দিকে সেলফ ফাইন্যান্সে মেডীকেল পড়ার জন্য আবেদন করতে বলা হয় কিন্তু সেখানে শর্ত থাকে NEET এ মিনিমাম ৫০% মার্ক অর্থাৎ ৩৬০ আউট অফ ৭২০ থাকতে হবে। তারপর ও এখানে কোনো নিশ্চয়তা নাই যে আপনি চান্স পাবেন। এক্ষেত্রে খরচ কত হবে তা জানতে চেয়ে লজ্জা দিবেন না কারন এক্সাট আমার জানা নাই কত খরচ হবে। (তবে হ্যা HCI( High Commission of India ) এর মাধ্যমে এপ্লাই না করে যদি নিজেই NEET দিয়ে ট্রাই করেন সেক্ষেত্রে অনেক সময় ৫০-২০০ লাখ পর্যন্ত খরচ হতে পারে। HCI এর মাধ্যমে এপ্লাই করে চান্স পেলে খুব সম্ভাবত খরচ কমে আসে যতদুর শুনেছি কিন্তু আমি এক্সাট কিছু জানি না।) #copied from Indian Association group etate porte jawar sob kichu likha ache ..,medical,Bangla
ঢাকার মধ্যে কিস্তির সুবিধা আছে কোন প্রাইভেট মেডিকেলে ?,Gonoshasthya,medical,Bangla
কেউ কি plz যে s.s.c:5.00 h.s.c :4.50 হলে কত  marks katbe ?,5 jdi hsc'18 hy.bt jdi hsc'19 hy tahle 12.5,medical,Bangla
bsc nursing কলেজগুলো কি কি??,ঢাকা /ময়মনসিংহ /মানিকগঞ্জ /গাজিপুর নার্সিং কলেজ হচ্ছে বংগবন্ধু মেডিকেল বিশ্ববিদ্যালয়ের নার্সিং ফ্যাকাল্টির অন্তর্ভুক্ত। সিলেট নার্সিং কলেজ সিলেট মেডিকেল বিশ্ববিদ্যালয়ে। রাজশাহি নার্সিং কলেজ রাজশাহি মেডিকেল বিশ্ববিদ্যালয়ের অন্তর্ভুক্ত। বরিশাল নার্সিং কলেজ ইত্যাদি,medical,Bangla
রংপুর রেটিনা না বগুড়া রেটিনা কোন কোচিং ভাল হবে এডমিশনের জন্য ?,Rangpur,medical,Bangla
BDS এর 1st year এ কোন কোন subject এর বই পড়তে হয়?like anatomy... subject আর পারলে বই গুলোর  Writer name জানালে ভালো হয়।আমার এই ব্যাপারে তেমন কোনো আইডিয়া নেই তাই senior ভাইয়া আপুরা জানালে খুবই উপকৃত হতাম।, 4 subjects.Anatmoy,physiology,biochemistry, SDM Writers & books vary from medical to medical ,medical,Bangla
৯২৭০ পজিশন নিয়ে ঢাকার ভিতর কোন মেডিকেলগুলাতে নিশ্চিত আসবে??,  anwar khan , popular, green life .. community based / shahabuddin/somorita,east west ,medical,Bangla
ইউনিভার্সাল মেডিকেল কলেজ, ঢাকা কমিউনিটি মেডিকেল কলেজ, ডা. সিরাজুল ইসলাম মেডিকেল কলেজগুলা কেমন?,Community medical ta vlo 3 ter moddhe.nxt sirajul islam Medical,medical,Bangla
sscতে golden a+ এবং hsc তে a+ পাইলে কত mark আসে medical exam এ।শুধু ভতি exam ছাড়া।,(Ssc gpa × 15)+( hsc gpa × 25)= (5×15)+(5×25)= 75+125=200,medical,Bangla
মেডিকেল ভর্তি পরীক্ষার মানবন্টন ?,মেডিকেল কলেজে ভর্তি পরীক্ষায় সর্বমোট ১০০টি এমসিকিউ প্রশ্ন থাকে জীববিজ্ঞান, পদার্থবিজ্ঞান, ইংরেজি ও সাধারণ জ্ঞান বিষয়ে। ১০০ টি প্রশ্নের জন্য পরীক্ষা অনুষ্ঠিত হয় ১০০ নম্বরে। এর মধ্যে জীববিজ্ঞান বিষয়ে প্রাণীবিজ্ঞান ও উদ্ভিদবিজ্ঞান মিলিয়ে ৩০ নম্বর, রসায়নবিজ্ঞান প্রথম ও দ্বিতীয় পত্র মিলিয়ে ২৫ নম্বর, পদার্থবিজ্ঞান প্রথম ও দ্বিতীয় পত্র মিলিয়ে ২০, ইংরেজিতে ১৫ নম্বর ও সাধারণ জ্ঞান বিষয়ে থাকে ১০ নম্বর। নম্বর বণ্টন থেকেই এ বিষয় স্পষ্ট যে, ভর্তি পরীক্ষায় জীববিজ্ঞান এবং রসায়নবিজ্ঞান বিষয়ে সবচেয়ে বেশি গুরুত্ব দেয়া হয়। ,medical,Bangla
জীববিজ্ঞান বিষয়ে কিভাবে প্রস্তুতি নিতে হবে?,মেডিকেল ভর্তি পরীক্ষায় জীববিজ্ঞান বিভাগের বেশিরভাগ প্রশ্ন প্রাণিবিজ্ঞান বই থেকেই আসে। মানবদেহ অধ্যায়ে সবচেয়ে বেশি গুরুত্ব দাও কারণ এখান থেকেই সবচেয়ে বেশি প্রশ্ন আসে।• উদ্ভিদবিজ্ঞান অংশ থেকে জৈবনিক প্রক্রিয়া, উদ্ভিদের ভিন্নতা ইত্যাদি অংশ থেকে থেকে বেশি প্রশ্ন  আসে।• বিভিন্ন বিজ্ঞানী ও তাদের মতবাদ সম্পর্কে ভালো ধারনা থাকতে হবে। বিভিন্ন আবিষ্কৃত ও মতবাদের সাল অবশ্যই মনে রাখতে হবে। এগুলো থেকেও প্রশ্ন আসে।,medical,Bangla
পদার্থবিজ্ঞান বিষয়ে কিভাবে প্রস্তুতি নিতে হবে?,পদার্থবিজ্ঞানের পরিচিত সূত্র থেকেই প্রশ্ন বেশি আসে। আর অঙ্কের ক্ষেত্রে যেসব সূত্রের সাহায্যে সহজে ও ছোট অঙ্ক করা যায়, সেসকল প্রশ্নই আসার সম্ভবনা বেশি। পরীক্ষার হলে ক্যালকুলেটরের ব্যাবহার নিষিদ্ধ তাই কিছু কিছু জিনিস অবশ্যই মুখস্ত রাখতে হবে। • একক মান, পার্থক্য ও আরও যত ছক আছে এগুলো ভালোভাবে পড়তে হবে।,medical,Bangla
রসায়ন বিষয়ে কিভাবে প্রস্তুতি নিতে হবে?, রসায়ন এ ভালো করতে হলে দ্বিতীয় পত্রে বেশি গুরুত্ব দিতে হবে। • কিছু বিক্রিয়া আছে যেগুলো বিজ্ঞানের নামে নামাঙ্কিত, সেসকল বিক্রিয়া ও আবিষ্কারের সাল ভালভাবে মনে রাখবে।• ভালভাবে পড়বে রাসায়নিক বন্ধন, মৌলের পর্যাবৃত্ত ধর্ম, ডি-ব্লক মৌল, জৈব অ্যাসিড, তড়িৎ রাসায়নিক কোষ, অ্যালডিহাই, হাইড্রোকার্বন ইত্যাদি বিষয়।,medical,Bangla
ইংরেজি বিষয়ে কিভাবে প্রস্তুতি নিতে হবে ?,  ইংরেজিতে ভালো করতে হলে অবশ্যই Vocabulary তে সবচেয়ে বেশি গুরুত্ব দিতে হবে। সাথে Synonym, Antonym ও ভালভাবে পড়তে হবে।• গ্রামার এ Tense, Parts of speech, Right Form of Verb, Article, Narration, Voice, Preposition, Phrase and Idioms ইত্যাদি ভালভাবে দেখতে হবে। ,medical,Bangla
সাধারণ জ্ঞান বিষয়ে কিভাবে প্রস্তুতি নিতে হবে?,আলোচিত যেকোনো ঘটনা সেটা বাংলাদেশ সম্পর্কিত হোক অথবা আন্তর্জাতিক, সে বিষয়ে ভালো ধারনা থাকতে হবে। সাম্প্রতিক ঘটে যাওয়া আলোচিত বিষয়ে সবচেয়ে বেশি গুরুত্ব দিয়ে পড়তে হবে ।• ক্ষুদ্রতম, বৃহত্তম, প্রথম ও একমাত্র, বিভিন্ন দেশী ও আন্তর্জাতিক সংগঠন, বিভিন্ন দেশ সম্পর্কে ভালো ধারনা রাখতে হবে।,medical,Bangla
BDS waiting position 45 !Is there any possibility to get chance in 2nd merit list ??,yes,medical,Banglish
medical jara 2nd timer tader tu (ssc gpa+hsc gpa+100 out of ?) theke total 5 marks kata jai . kintu oneke bole je 7 marks or 9.25 marks kata jai.konta right ????,1.	Normally 2nd tymer der 5 kata jay.. bt tmr gpa kom thakle to aro mark kata jabei... nd 1st tym e jodi kono govt medical or dental e admit hoye thn 2nd tym medical e xm dao tahole 7.5 mark kata jabe,medical,Banglish
SUGGESTION PLZ-1.PRIVATE UNIVERSITY 2.PRIVATE DENTAL COLLEGE 3.CHINA/MALAYSIA/EUROPE MEDICAL UNIVERSITY THEK MBBS -FULLY CONFUSED.KONTA KORLE VALO HOBE ?,U can try no.2But nub.3 not at all.,medical,Banglish
Private mdicl addmsn result diye dice ki??,check https://www.facebook.com/PrivateMedicalAdmission.helpline/,medical,Banglish
Private dental vortir circular ki diye dise??kindly keu ektu bolben..kobe dibe??,Private medical college admission help in Bangladesh,medical,Banglish
Medical er admit card ki abar tula Jabe?,https://www.admissionwar.com//?s=medical,medical,Banglish
Biology boi er bangla sobder ki english gulao porte hobe naki,janale upokar hoto।jemon তল mane planes..,medical,Banglish
Retina 2nd time coaching suru kobe theke?,http://retinabd.com/,medical,Banglish
Ami biology the A+ paid ni ...Ami ki biology improve dite parbo?,Yes,medical,Banglish
Ami aiber Exam dissilam Inter. 7 Ta diye sick hoye jaoyar karone Ami baki 5 ta xm r deinai so amr result asche absent . ami jodi aibar inter exam diye medical vorti porikkha a 1st timer bole gonno hobo na 2nd ? aitai ki amr medical a vorti hobar last chance ?,fast timer,medical,Banglish
sahabuddin medical college ta kmn?,blo hobe na uttara adhunik balo hobe,medical,Banglish
Improve dia medical a XM dile....tar porer yr eo ki medical XM dia jbe?,https://www.admissionwar.com/?s=medical,medical,Banglish
jader gpa score 200 r chay kom tader ki mark Kate govt. medical r moto ?,haa..marks distribution puro Medical er moto...just exam er marks ta ektu edik odik..,medical,Banglish
Medical a english er jonno kon boi vlo hbe?,apex,medical,Banglish
Dhakar moddhe private dental gular cost koto ?,Private medical college admission help in Bangladesh,medical,Banglish
Dental er preparation kivabe nibo bujhtesi na??,mbbs er jonno ja porcho oigula e revision dao,medical,Banglish
SAPPORO dental College ta kemon hobe?dhakai er cheye valo dental college ace?,Sapporo....Pioneer....agula one of the best for DENTAL,medical,Banglish
New Medical College gulate professor paoyar kono possiblity ase?,non. govt a vorti hou..... onnoke sujog dau.......jhon proti professor paba,medical,Banglish
Kono versity te admit hoye medical a 2 nd time try korle marks koto kata jabe ?,sudhu government medical/dental e admit hole 7.5 kata.....baki sobar 5,medical,Banglish
2nd Timer jonno kon coaching centerta Best hobe ?,medico,medical,Banglish
medical er 2nd time er jonno kon boi gula follow korle valo hobe ?,প্রানীবিজ্ঞানঃ গাজী আজমল, আলীম  উদ্ভিদবিজ্ঞানঃ আবুল হাসান  পদার্থবিজ্ঞান ১ম ও ২য় পত্রঃ আমীর হোসেন  রসায়ন ১ম ও ২য় পত্রঃ হাজারী, কবির  ইংরেজিঃ Apex সাধারণ জ্ঞানঃ মেডিজ্ঞান কোষ  সাথে রেটিনার ডাইজেস্ট   ,medical,Banglish
Shaheed suhrawardy medical ki govt???,Yes,medical,Banglish
DMC te seat koto??,General 216 FF 4,medical,Banglish
City medical college,Gazipur.....eita kmn medical??,hmm..valoi,medical,Banglish
BSC nursing xm e ki calculator use kora jabe??,na,medical,Banglish
Anwar Khan Medical College / Dhaka Community Medical College konta kmn? R khoroch kmn pore?,dui tai valo..but anwar khan e cost beshi,medical,Banglish
BSMRAU er msg ki dea dise?,Online a dekho,medical,Banglish
Enam medical college kmn??,motamoti first er dik er medical,medical,Banglish
MMC Dental e vortir jonno kon kon papers e officer er sign lagbe??,ফটোকপি সব সত্যায়িত লাগবে।আর ছবিও,medical,Banglish
Test score = 57.5 and merit score = 257.5 hole valo private medical college gulo te pora jabe?,Vlo medical a hobe plus chesta korle poor quota te o hobe,medical,Banglish
Chittagong Medical College dental unit a vorti ta koto taka lagba???,tk9560,medical,Banglish
china te cost kmn?,china may be cost low but man bd er theke kom,medical,Banglish
Dhakai private dental er jonno konta valo hobe?,BUMS/BAMS/BHMS form fillup date 17-25 november.,medical,Banglish
dhakar mogbazar mailbag gulshan or dhanmondi te valo dental college ki ase??,malibag- saphena Women's dental College, University of dental...mogbazar-holy family dental unit ,medical,Banglish
Army medical college, jsshore valo hobe??? Naki jahurul islam medical or community based medical college, mymenshing valo hobe?? ,Army medical without any doubt,medical,Banglish
merit 135 migration list-1.ddc2.ssmc3.shsmc cmc theke kothay ashar possibility ase?,ssmc,medical,Banglish
Bsc nursing xm ditha chai.... atar somporka kaw kicu janla plz help koro....,check https://www.admissionwar.com/%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8%E0%A6%BF%E0%A6%82-%E0%A6%AD%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%A4%E0%A6%A5%E0%A7%8D%E0%A6%AF/,medical,Banglish
IMC(BIRDEM) OR Holy family te keu form submitt korechen? Form er shather attachments ki attested I mean shottayito hote hobe??,Na,medical,Banglish
1.Anwar khan modern medical college 2.Delta medical college 3 . National medical college -Konta better hobe?,National, anwer,delta ,medical,Banglish
Private medical college gulote ki online a form puron Korte hobe naki college a giye form joma dite Hobe?,giye joma dite hobe,medical,Banglish
Improve hsc exam dile 2019 year e medical  exam a ki 2nd timer gonno hobo ?SSC pass 2016 .,Improve Dile 1st Timer Count Hoben,medical,Banglish
Rajshahi Medical dental unit e chance paice amar coto bon tar position 352. amader bari Gazipu. Vorti hobar por migration hoye ki Dhaka ashar kono possibility asey?,possibility kom .,medical,Banglish
7600 serial niye kon private dental e pora jabe?,hmm...jabe,medical,Banglish
Dr sirajul islam medical college ta kmn???,valo,medical,Banglish
Improvement dile ki test xm dite hbe?,no,medical,Banglish
Merit list koto thakle chittagong medical ase??,45.11,medical,Banglish
Netrokona theke kar kar kothay 1st migration e clg change hoyce??,Patuakhali Medical,medical,Banglish
Kon kon private a apply korte parbo ? amr serial 6325.,Bangladesh, holy family, national, ibnesina,enam ,medical,Banglish
Private Medical e MBBS/BDS naki government dental( Rangpur Dental) e BDS... konta better hbe?,government to always best...seta ja e hok na kno...non government kokhono government hote parbe na...,medical,Banglish